Date,ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume,VOLUME
2020-01-15,PK0078701015,BAFL,Bank Alfalah Ltd. ,52.47,2.73,710866048,37299141538.56,1777165119,93247853793.93,389000.0,
2020-01-15,PK0051601018,BAHL,Bank Al-Habib Ltd. ,81.59,4.32,722426520,58942779766.8,1111425419,90681199936.21,366500.0,
2020-01-15,PK0045001010,BOP,Bank Of Punjab. ,13.5,1.1,1115934411,15065114548.5,2643692380,35689847130.0,19650500.0,
2020-01-15,PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,76.86,1.23,219059559,16836917704.74,438119097,33673833795.42,4281000.0,
2020-01-15,PK0099701010,EFERT,Engro Fertilizers Limited. ,75.07,3.3,600884719,45108415855.33,1335299375,100240924081.25,594500.0,
2020-01-15,PK0012101017,ENGRO,Engro Corporation Limited. ,361.77,8.4,316889777,114641214625.29,576163230,208438571717.1,329500.0,
2020-01-15,PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,34.0,0.79,318123167,10816187678.0,908923333,30903393322.0,4582500.0,
2020-01-15,PK0074501013,FCCL,Fauji Cement Co Ltd. ,16.89,0.94,758898264,12817791678.96,1379815025,23305075772.25,2391500.0,
2020-01-15,PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,101.94,5.22,699731036,71330581809.84,1272238147,129691956705.18,300600.0,
2020-01-15,PK0085101019,HBL,Habib Bank Limited. ,170.8,9.17,733426254,125269204183.2,1466852508,250538408366.4,1300700.0,
2020-01-15,PK0065001015,HUBC,Hub Power Company Limited. ,101.34,7.22,972865790,98590219158.6,1297154400,131453626896.0,360500.0,
2020-01-15,PK0083101011,KAPCO,Kot Addu Power Company. ,29.72,0.99,455655113,13542069958.36,880253228,26161125936.16,857000.0,
2020-01-15,PK0077901012,LOTCHEM,Lotte Chemical Pakistan Ltd. ,14.31,0.4,378551802,5417076286.62,1514207200,21668305032.0,1937000.0,
2020-01-15,PK0071501016,LUCK,Lucky Cement Limited. ,486.09,4.6,129350000,62875741500.0,323375000,157189353750.0,352200.0,
2020-01-15,PK0066301018,MARI,Mari Petroleum Company Ltd. ,1362.22,2.66,26680500,36344710710.0,133402500,181723553550.0,23380.0,
2020-01-15,PK0055601014,MCB,MCB Bank Limited. ,222.62,6.76,414771002,92336320465.24,1185060006,263818058535.72,243600.0,
2020-01-15,PK0077401013,MEBL,Meezan Bank Limited. ,102.02,2.4,321527906,32802276970.12,1286111589,131209104309.78,1105500.0,
2020-01-15,PK0066201010,MLCF,Maple Leaf Cement Factory Ltd. ,23.24,0.45,267165300,6208921572.0,1098346232,25525566431.68,18256000.0,
2020-01-15,PK0009801017,MTL,Millat Tractors Limited. ,728.14,1.2,22423101,16327156762.14,49829112,36282569611.68,9300.0,
2020-01-15,PK0078001010,NBP,National Bank Of Pakistan. ,43.88,1.63,506885758,22242147061.04,2127512862,93355264384.56,646000.0,
2020-01-15,PK0005501017,NML,Nishat Mills Ltd. ,109.82,1.27,158219932,17375712932.24,351599848,38612695307.36,1434200.0,
2020-01-15,PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,150.97,7.13,645139260,97396674082.2,4300928400,649311160548.0,2532100.0,
2020-01-15,PK0034601010,PAEL,Pak Elektron Ltd. ,27.93,0.51,248840743,6950121951.99,497681485,13900243876.05,3537500.0,
2020-01-15,PK0008901016,SNGP,Sui Northern Gas Pipe Line Ltd. ,80.7,1.69,285397499,23031578169.3,634216666,51181284946.2,1193000.0,
2020-01-15,PK0079201015,TRG,TRG Pakistan Ltd. ,28.42,1.13,541806765,15398148261.3,545390665,15500002699.3,9260500.0,
2020-01-15,PK0081901016,UBL,United Bank Ltd. ,180.82,6.48,489671875,88542468437.5,1224179688,221356171184.16,294800.0,
2020-01-16,PK0023901017,POL,Pakistan Oilfields Limited. ,456.7,4.34,130069270,59402635609.0,283855104,129636625996.8,254100.0,
2020-01-16,PK0081801018,PPL,Pakistan Petroleum Limited. ,148.92,7.25,666090089,99194136053.88,2720967548,405206487248.16,1669800.0,
2020-01-16,PK0022501016,PSO,Pakistan State Oil Co Ltd. ,212.49,3.28,211262985,44891271682.65,469473300,99758381517.0,1567500.0,
2020-01-16,PK0061701014,SEARL,The Searle Company Ltd. ,189.96,1.33,95591360,18158534745.6,212425272,40352304669.12,214300.0,
2020-01-16,PK0078701015,BAFL,Bank Alfalah Ltd. ,52.48,2.73,710866048,37306250199.04,1777165119,93265625445.12,1276000.0,
2020-01-16,PK0051601018,BAHL,Bank Al-Habib Ltd. ,81.53,4.31,722426520,58899434175.6,1111425419,90614514411.07,424000.0,
2020-01-16,PK0045001010,BOP,Bank Of Punjab. ,14.13,1.15,1115934411,15768153227.43,2643692380,37355373329.4,60410500.0,
2020-01-16,PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,78.43,1.26,219059559,17180841212.37,438119097,34361680777.71,4138500.0,
2020-01-16,PK0099701010,EFERT,Engro Fertilizers Limited. ,75.16,3.3,600884719,45162495480.04,1335299375,100361101025.0,588500.0,
2020-01-16,PK0012101017,ENGRO,Engro Corporation Limited. ,360.02,8.34,316889777,114086657515.54,576163230,207430286064.6,205800.0,
2020-01-16,PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,34.04,0.79,318123167,10828912604.68,908923333,30939750255.32,3470000.0,
2020-01-16,PK0074501013,FCCL,Fauji Cement Co Ltd. ,16.91,0.94,758898264,12832969644.24,1379815025,23332672072.75,2276500.0,
2020-01-16,PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,103.06,5.27,699731036,72114280570.16,1272238147,131116863429.82,657000.0,
2020-01-16,PK0085101019,HBL,Habib Bank Limited. ,170.32,9.13,733426254,124917159581.28,1466852508,249834319162.56,617600.0,
2020-01-16,PK0065001015,HUBC,Hub Power Company Limited. ,101.33,7.21,972865790,98580490500.7,1297154400,131440655352.0,415500.0,
2020-01-16,PK0083101011,KAPCO,Kot Addu Power Company. ,29.72,0.99,455655113,13542069958.36,880253228,26161125936.16,576500.0,
2020-01-16,PK0077901012,LOTCHEM,Lotte Chemical Pakistan Ltd. ,14.45,0.4,378551802,5470073538.9,1514207200,21880294040.0,3129000.0,
