as_of_date,trading_date,symbol,company,closing_price,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent
2022-12-31,2022-12-30,MEBL,Meezan Bank Limited,99.54,447406080.0,447406080.0,1.0,44534801203.2,943389.569105691,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5260441138924059,0.11737287780386584,0.3217084958481359,13.0,True
2022-12-31,2022-12-30,MLCF,Maple Leaf Cement Factory Ltd.,22.57,483005804.0,483005804.0,1.0,10901440996.28,2957213.8536585364,1.0,182,,,,,True,True,True,True,True,True,True,True,0.11192917283243049,0.37541212029429827,0.24367064656336437,18.0,True
2022-12-31,2022-12-30,MTL,Millat Tractors Limited,485.11,52308608.0,52308608.0,1.0,25375428826.88,46066.10569105691,1.0,182,,,,,True,True,True,True,True,True,True,True,0.2901419526586486,0.0023952858935486696,0.14626861927609863,25.0,True
2022-12-31,2022-12-30,NRL,National Refinary Ltd.,176.05,26197222.0,26197222.0,1.0,4612020933.1,752151.1056910569,1.0,182,,,,,True,True,True,True,True,True,True,True,0.03448990412001284,0.09286873977500915,0.063679321947511,27.0,True
2022-12-31,2022-12-30,OGDC,Oil & Gas Development Company Limited,79.66,645139260.0,645139260.0,1.0,51391793451.6,2369030.9024390243,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6104716859020154,0.30004592060018237,0.4552588032510989,5.0,True
2022-12-31,2022-12-30,POL,Pakistan Oilfields Limited,392.85,129837231.0,129837231.0,1.0,51006556198.35,181861.13008130083,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6057284041887923,0.01979523756580135,0.3127618208772968,14.0,True
2022-12-31,2022-12-30,PPL,Pakistan Petroleum Limited.,68.14,667428226.0,667428226.0,1.0,45478559319.64,2186656.7317073173,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5376642533717795,0.27667759932885566,0.4071709263503176,8.0,True
2022-12-31,2022-12-30,PSO,Pakistan State Oil Co Ltd.,143.99,211262985.0,211262985.0,1.0,30419757210.15,857801.9512195121,1.0,182,,,,,True,True,True,True,True,True,True,True,0.3522508748202596,0.10640619900506786,0.22932853691266372,20.0,True
2022-12-31,2022-12-30,SYS,Systems Limited,483.93,167019120.0,167019120.0,1.0,80825562741.6,446019.26016260165,1.0,182,,,,,True,True,True,True,True,True,True,True,0.9728786401793169,0.05364285987660446,0.5132607500279607,4.0,True
2022-12-31,2022-12-30,TELE,Telecard Ltd.,6.76,325495084.0,325495084.0,1.0,2200346767.84,4312413.333333333,0.6097560975609756,106,,,,,True,True,False,True,True,True,True,False,,,,,
