Date,SYMBOL,ISIN,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,VOLUME,ret_21d,wt_rank,vol_63d,turn_63d,next_weight,stay_next,weight_change_next,next_rebalance_date,NAV_AKD,AUM_AKD,FLOW_AKD,NAV_NBP,AUM_NBP,FLOW_NBP,NAV_NTI,AUM_NTI,FLOW_NTI,NAV_TOTAL,AUM_TOTAL,FLOW_TOTAL,NAV_AKD_lag1,NAV_AKD_lag2,AUM_AKD_lag1,AUM_AKD_lag2,FLOW_AKD_lag1,FLOW_AKD_lag2,NAV_NBP_lag1,NAV_NBP_lag2,AUM_NBP_lag1,AUM_NBP_lag2,FLOW_NBP_lag1,FLOW_NBP_lag2,NAV_NTI_lag1,NAV_NTI_lag2,AUM_NTI_lag1,AUM_NTI_lag2,FLOW_NTI_lag1,FLOW_NTI_lag2,NAV_TOTAL_lag1,NAV_TOTAL_lag2,AUM_TOTAL_lag1,AUM_TOTAL_lag2,FLOW_TOTAL_lag1,FLOW_TOTAL_lag2,aum_nav_ratio,flow_to_aum
2020-09-30,CHCC,PK0029801013,Cherat Cement Company Limited,116.76,1.06,106862271,12477238761.96,106862271,12477238761.96,917000.0,,25.0,,,1.34,1,0.28,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,DGKC,PK0052401012,D. G. Khan Cement Co. Ltd.,103.11,1.92,219059559,22587231128.49,219059559,22587231128.49,6000000.0,0.7402531645569621,18.0,0.021695329848651065,6715182.53968254,2.06,1,0.14000000000000012,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,EFERT,PK0099701010,Engro Fertilizers Limited,60.82,3.11,600884719,36545808609.58,600884719,36545808609.58,2680190.0,0.054804023586541906,13.0,0.015465573586742932,2830435.634920635,2.92,1,-0.18999999999999995,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,ENGRO,PK0012101017,Engro Corporation Limited.,301.03,8.12,316889777,95393329570.31,316889777,95393329570.31,1137645.0,0.127875608842263,2.0,0.012529012315705503,877486.6031746032,6.85,1,-1.2699999999999996,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,EPCL,PK0092201018,Engro Polymer & Chemicals Ltd.,40.37,1.05,318123167,12842632251.79,318123167,12842632251.79,2032000.0,0.646411092985318,26.0,0.023381526602705826,4182436.507936508,0.0,0,-1.05,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,FCCL,PK0074501013,Fauji Cement Company Limited,19.88,1.28,758898264,15086897488.32,758898264,15086897488.32,4243000.0,0.34233625928426736,24.0,0.019946240124626417,7977793.650793651,1.38,1,0.09999999999999987,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,FFC,PK0053401011,Fauji Fertilizer Company Limited,107.99,6.44,699731036,75563954577.64,699731036,75563954577.64,473182.0,0.1610579507579828,5.0,0.011741528001297541,1383408.126984127,5.7,1,-0.7400000000000002,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,HASCOL,PK0108001014,Hascol Petroleum Ltd.,20.18,1.03,599472408,12097353193.44,599472408,12097353193.44,86628500.0,,27.0,,,0.45,1,-0.5800000000000001,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,HBL,PK0085101019,Habib Bank Limited,130.74,8.17,733426254,95888148447.96,733426254,95888148447.96,818892.0,0.2664922987503633,1.0,0.017083404185244677,1528255.349206349,6.64,1,-1.5300000000000002,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,HUBC,PK0065001015,The Hub Power Company Limited,78.46,6.5,972865790,76331049883.4,972865790,76331049883.4,2355398.0,0.14926029002490115,4.0,0.020715201043089892,4130936.476190476,6.15,1,-0.34999999999999964,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,ISL,PK0102001010,International Steels Limited.,77.04,0.86,130500000,10053720000.0,130500000,10053720000.0,1030500.0,1.1287648521691076,29.0,0.024019648974351025,4121246.0317460317,1.02,1,0.16000000000000003,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,LOTCHEM,PK0077901012,Lotte Chemical Pakistan Ltd.,13.51,0.42,378551802,5114234845.02,378551802,5114234845.02,2458000.0,0.3743641912512716,32.0,0.0222443702451799,6530214.285714285,0.0,0,-0.42,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,LUCK,PK0071501016,Lucky Cement Limited.,647.07,7.13,129350000,83698504500.0,129350000,83698504500.0,584111.0,0.7455354734286488,3.0,0.01623132365649232,1330436.857142857,8.24,1,1.1100000000000003,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,MARI,PK0066301018,Mari Petroleum Company Ltd.,1369.52,3.11,26680500,36539478360.0,26680500,36539478360.0,24020.0,0.5368869936034115,13.0,0.013651616457926256,32940.31746031746,3.18,1,0.07000000000000028,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,MCB,PK0055601014,MCB Bank Limited,173.82,6.14,414771002,72095495567.64,414771002,72095495567.64,292158.0,0.16438906752411575,6.0,0.012499049473052951,498470.9682539682,5.56,1,-0.5800000000000001,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,MEBL,PK0077401013,Meezan Bank Limited,82.21,2.48,353680696,29076090018.16,353680696,29076090018.16,1738000.0,0.2630204332462742,14.0,0.02286881530894125,1088246.0317460317,3.12,1,0.6400000000000001,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
