Date,SYMBOL,COMPANY,PRICE,IDX WT %,VOLUME
2020-01-10,PPL,Pakistan Petroleum Limited.,149.14,7.24,3872400.0
2020-01-10,PSO,Pakistan State Oil Co Ltd.,214.72,3.31,3632600.0
2020-01-10,SEARL,The Searle Company Ltd.,194.28,1.35,1534500.0
2020-01-10,SNGP,Sui Northern Gas Pipelines Limited,82.88,1.72,8841000.0
2020-01-10,TRG,TRG Pakistan Ltd.,27.65,1.09,25771500.0
2020-01-10,UBL,United Bank Limited,181.96,6.49,2349300.0
2020-01-13,BAFL,Bank Alfalah Limited,52.99,2.74,2466500.0
2020-01-13,BAHL,Bank Al-Habib Ltd.,81.98,4.32,397500.0
2020-01-13,BOP,Bank Of Punjab.,13.28,1.08,34974000.0
2020-01-13,DGKC,D. G. Khan Cement Co. Ltd.,76.69,1.22,3269500.0
2020-01-13,EFERT,Engro Fertilizers Limited,75.05,3.29,2324000.0
2020-01-13,ENGRO,Engro Corporation Limited.,356.46,8.23,522700.0
2020-01-13,EPCL,Engro Polymer & Chemicals Ltd.,34.9,0.81,2031500.0
2020-01-13,FCCL,Fauji Cement Company Limited,17.1,0.95,13578000.0
2020-01-13,FFC,Fauji Fertilizer Company Limited,102.48,5.23,415500.0
2020-01-13,HBL,Habib Bank Limited,170.98,9.14,2117500.0
2020-01-13,HUBC,The Hub Power Company Limited,101.88,7.22,2451500.0
2020-01-13,KAPCO,Kot Addu Power Company.,29.98,1.0,1403500.0
2020-01-13,LOTCHEM,Lotte Chemical Pakistan Ltd.,14.37,0.4,4241000.0
2020-01-13,LUCK,Lucky Cement Limited.,489.91,4.62,261100.0
2020-01-13,MARI,Mari Petroleum Company Ltd.,1366.83,2.66,31080.0
2020-01-13,MCB,MCB Bank Limited,221.79,6.7,683800.0
2020-01-13,MEBL,Meezan Bank Limited,102.99,2.41,1109500.0
2020-01-13,MLCF,Maple Leaf Cement Factory Ltd.,23.09,0.45,11201500.0
2020-01-13,MTL,Millat Tractors Limited,728.11,1.19,28200.0
2020-01-13,NBP,National Bank Of Pakistan.,44.59,1.65,1511000.0
2020-01-13,NML,Nishat Mills Ltd.,112.62,1.3,1634500.0
2020-01-13,OGDC,Oil & Gas Development Company Limited,153.07,7.2,2349000.0
2020-01-13,PAEL,Pak Elektron Limited,27.69,0.5,5434000.0
2020-01-13,POL,Pakistan Oilfields Limited,467.4,4.43,126100.0
2020-01-13,PPL,Pakistan Petroleum Limited.,151.82,7.37,6835000.0
2020-01-13,PSO,Pakistan State Oil Co Ltd.,216.54,3.33,4659500.0
2020-01-13,SEARL,The Searle Company Ltd.,192.5,1.34,467300.0
2020-01-13,SNGP,Sui Northern Gas Pipelines Limited,83.21,1.73,4550500.0
2020-01-13,TRG,TRG Pakistan Ltd.,28.65,1.13,16973500.0
2020-01-13,UBL,United Bank Limited,178.74,6.38,2305000.0
2020-01-14,BAFL,Bank Alfalah Limited,52.96,2.74,320500.0
2020-01-14,BAHL,Bank Al-Habib Ltd.,82.0,4.32,308500.0
2020-01-14,BOP,Bank Of Punjab.,13.38,1.09,18020500.0
2020-01-14,DGKC,D. G. Khan Cement Co. Ltd.,75.45,1.2,1955500.0
2020-01-14,EFERT,Engro Fertilizers Limited,75.56,3.31,1521000.0
2020-01-14,ENGRO,Engro Corporation Limited.,362.89,8.38,874800.0
2020-01-14,EPCL,Engro Polymer & Chemicals Ltd.,33.58,0.78,12040000.0
2020-01-14,FCCL,Fauji Cement Company Limited,16.76,0.93,3069500.0
2020-01-14,FFC,Fauji Fertilizer Company Limited,102.57,5.23,458400.0
2020-01-14,HBL,Habib Bank Limited,171.24,9.15,848900.0
2020-01-14,HUBC,The Hub Power Company Limited,102.95,7.3,1667500.0
2020-01-14,KAPCO,Kot Addu Power Company.,29.86,0.99,1141500.0
2020-01-14,LOTCHEM,Lotte Chemical Pakistan Ltd.,14.31,0.39,3021500.0
2020-01-14,LUCK,Lucky Cement Limited.,487.75,4.6,248400.0
2020-01-14,MARI,Mari Petroleum Company Ltd.,1374.2,2.67,58500.0
2020-01-14,MCB,MCB Bank Limited,220.71,6.67,406500.0
2020-01-14,MEBL,Meezan Bank Limited,101.89,2.39,263000.0
2020-01-14,MLCF,Maple Leaf Cement Factory Ltd.,22.84,0.44,8020000.0
2020-01-14,MTL,Millat Tractors Limited,727.49,1.19,26850.0
2020-01-14,NBP,National Bank Of Pakistan.,44.63,1.65,1904500.0
2020-01-14,NML,Nishat Mills Ltd.,113.16,1.3,1525000.0
2020-01-14,OGDC,Oil & Gas Development Company Limited,151.45,7.12,1177500.0
2020-01-14,PAEL,Pak Elektron Limited,28.26,0.51,6063000.0
2020-01-14,POL,Pakistan Oilfields Limited,465.02,4.41,252800.0
2020-01-14,PPL,Pakistan Petroleum Limited.,149.99,7.28,1685700.0
2020-01-14,PSO,Pakistan State Oil Co Ltd.,215.93,3.32,1963700.0
2020-01-14,SEARL,The Searle Company Ltd.,191.62,1.33,424800.0
2020-01-14,SNGP,Sui Northern Gas Pipelines Limited,80.69,1.68,2387500.0
2020-01-14,TRG,TRG Pakistan Ltd.,28.32,1.12,16478500.0
2020-01-14,UBL,United Bank Limited,181.84,6.49,1398800.0
2020-01-15,BAFL,Bank Alfalah Limited,52.47,2.73,389000.0
2020-01-15,BAHL,Bank Al-Habib Ltd.,81.59,4.32,366500.0
2020-01-15,BOP,Bank Of Punjab.,13.5,1.1,19650500.0
2020-01-15,DGKC,D. G. Khan Cement Co. Ltd.,76.86,1.23,4281000.0
2020-01-15,EFERT,Engro Fertilizers Limited,75.07,3.3,594500.0
2020-01-15,ENGRO,Engro Corporation Limited.,361.77,8.4,329500.0
2020-01-15,EPCL,Engro Polymer & Chemicals Ltd.,34.0,0.79,4582500.0
2020-01-15,FCCL,Fauji Cement Company Limited,16.89,0.94,2391500.0
2020-01-15,FFC,Fauji Fertilizer Company Limited,101.94,5.22,300600.0
2020-01-15,HBL,Habib Bank Limited,170.8,9.17,1300700.0
2020-01-15,HUBC,The Hub Power Company Limited,101.34,7.22,360500.0
2020-01-15,KAPCO,Kot Addu Power Company.,29.72,0.99,857000.0
2020-01-15,LOTCHEM,Lotte Chemical Pakistan Ltd.,14.31,0.4,1937000.0
2020-01-15,LUCK,Lucky Cement Limited.,486.09,4.6,352200.0
2020-01-15,MARI,Mari Petroleum Company Ltd.,1362.22,2.66,23380.0
2020-01-15,MCB,MCB Bank Limited,222.62,6.76,243600.0
2020-01-15,MEBL,Meezan Bank Limited,102.02,2.4,1105500.0
2020-01-15,MLCF,Maple Leaf Cement Factory Ltd.,23.24,0.45,18256000.0
2020-01-15,MTL,Millat Tractors Limited,728.14,1.2,9300.0
2020-01-15,NBP,National Bank Of Pakistan.,43.88,1.63,646000.0
2020-01-15,NML,Nishat Mills Ltd.,109.82,1.27,1434200.0
2020-01-15,OGDC,Oil & Gas Development Company Limited,150.97,7.13,2532100.0
2020-01-15,PAEL,Pak Elektron Limited,27.93,0.51,3537500.0
