date,idx_total_volume,idx_n_stocks,idx_ff_mcap_total,idx_log_return,idx_rolling_vol_30d,oil_price,oil_log_return,usdpkr,usdpkr_log_return,interest_rate,cpi_yoy
2024-06-10,37774025.0,30,1591369010683.57,-0.00919543603542839,0.14167619565701428,81.63,-0.0035463198279331483,278.12,0.000647412172381218,22.0,11.8
2024-06-11,45696010.0,30,1573439780250.6,-0.011330493201938185,0.13920597926349654,81.92,-0.008266519235734612,278.29,0.0006110602084426109,20.5,11.8
2024-06-12,37012190.0,30,1578638211520.8599,0.003298418374726102,0.12696160892377617,82.6,-0.0018143337302399746,278.4,0.0003951930210048991,20.5,11.8
2024-06-13,139638874.0,30,1661944312650.34,0.05142560569028446,0.1956088676646669,82.75,0.001572232288553806,278.44,0.000143667840201247,20.5,11.8
2024-06-14,71863866.0,30,1679636416768.11,0.01058916175819628,0.19569015334688938,82.62,-0.01953678726385253,278.44,0.000143667840201247,20.5,11.8
2024-06-20,81202902.0,30,1729929035739.15,0.029503036461518327,0.2079391813044999,85.71,0.0054986976803749225,278.33,7.185972983832301e-05,20.5,11.8
2024-06-21,92399805.0,30,1732347569685.7,0.0013970774814122172,0.2073899201961648,85.24,-0.008992761332971848,278.33,7.185972983832301e-05,20.5,11.8
2024-06-24,60780105.0,30,1720818345557.65,-0.006677505367995136,0.2075135185020081,86.01,0.01169467193412061,278.39,3.592147565798157e-05,20.5,11.8
2024-06-25,41226743.0,30,1712862355589.99,-0.00463409670142286,0.20777208337904776,85.01,-0.002819219534358675,278.48,0.0003232352282710651,20.5,11.8
2024-06-26,96823952.0,30,1726078058697.73,0.007685953563686423,0.20658588906095712,85.25,-0.013283812207166651,278.39,-0.0003232352282710406,20.5,11.8
2024-06-27,50850183.0,30,1729574613954.98,0.0020236735469363835,0.2065819239695981,86.39,-0.00023148148251510392,278.4,3.592018535206179e-05,20.5,11.8
2024-06-28,41704746.0,30,1719323265503.42,-0.005944727272230668,0.20735979838728208,86.41,-0.0021964057150815515,278.4,3.592018535206179e-05,20.5,11.8
2024-07-01,56298945.0,30,1725255939517.03,0.0034446470972052837,0.2044525641344338,86.6,0.0041657084077025485,278.31,-0.000323328126974718,20.5,12.6
2024-07-02,50353102.0,30,1739828845748.04,0.008411333663726709,0.20515336929711844,86.24,-0.012674440896727937,278.3,-3.5931801444723444e-05,20.5,12.6
2024-07-03,79037923.0,30,1754506676845.99,0.00840097771303391,0.20596798846922923,87.34,-0.001029925135384804,278.21,-0.0003234443254736244,20.5,12.6
2024-07-04,63626187.0,30,1753991303479.28,-0.0002937857586390723,0.20608476851539784,87.43,0.010231738396060903,278.24,0.00010782639960135848,20.5,12.6
